Orf	Name	130min	170min	Overnight
YBR255W	MTC4	0.327700067	0.093927983	0.874175014
YLR398C	SKI2	-0.130315515	0.026471294	1.002051041
YHR082C	KSP1	0.467690877	0.292867658	-0.242562123
YOL102C	TPT1	0.268042254	-0.004668084	-0.418226094
YMR283C	RIT1	-0.735873677	-0.495332061	-0.833459976
YPL219W	PCL8	-0.343781512	0.211607194	0.908504135
YNR009W	NRM1	-0.790702658	-0.822203815	-0.586189475
YML051W	GAL80	-0.362432751	-0.15926444	0.191282461
YPL214C	THI6	0.369977876	-0.357565733	-0.848939824
YGL255W	ZRT1	-4.909842647	-4.205248347	1.403778805
YIL091C	UTP25	0.141332797	-0.237149459	-0.506056166
YKR054C	DYN1	0.254925619	-0.001319301	1.533519982
YAL023C	PMT2	NA	-0.947783149	0.047411135
YCL027W	FUS1	-0.347126898	0.37624485	-0.137873281
YDL047W	SIT4	-0.457397077	-0.915870967	-0.503566675
YGL126W	SCS3	0.093894973	0.500655716	-2.150613522
YBR267W	REI1	-0.403686114	-0.483450859	-1.278291898
YBR025C	OLA1	0.502664359	-0.361862175	0.015349593
YGL062W	PYC1	0.394904704	1.107123474	0.127344334
YER056C-A	RPL34A	-1.217199947	-1.164745509	0.172845955
YGL220W	FRA2	-0.134660295	-0.239173272	0.453846018
YGL169W	SUA5	0.407501561	-0.256137807	-0.127310899
YDR525W-A	SNA2	-2.617858181	-2.407726845	-3.267355768
YPR020W	ATP20	0.755753927	-0.17747351	NA
YOR014W	RTS1	0.675844395	0.681257233	-0.365610038
YML110C	COQ5	-0.334647867	0.060106685	1.026888837
YNL232W	CSL4	0.509689679	-0.271666613	-0.542842817
YOR084W	LPX1	0.434444545	-0.365287844	-0.243056228
YIL143C	SSL2	-0.496355053	-0.555716262	0.785164854
YGR012W	YGR012W	-0.922479171	-0.409876514	-1.673488904
YHR119W	SET1	0.249765573	0.637995341	-0.03229943
YGL163C	RAD54	0.001379291	0.751289021	1.72562858
YOL066C	RIB2	-1.447250575	-0.455464746	-0.439713847
YAL027W	SAW1	0.059488219	-0.05071657	-0.203265462
YDL122W	UBP1	0.389746428	0.000593189	-0.678400404
YBR264C	YPT10	-0.993958076	-0.404658118	-0.004834419
YDR121W	DPB4	-0.497434861	0.189762261	-0.866630318
YAR028W	YAR028W	-0.543054822	-1.088085199	-0.045951078
YNL223W	ATG4	0.681070421	0.611352911	-0.267117363
YBR069C	TAT1	-1.974838653	-2.602314851	-1.056366913
